predicted_score,ground_truth_score
193.16579,3.22
193.7196,3.84
159.18585,3.24
273.8142,4.44403
214.71918,3.94
155.47809,3.26
204.72668,2.86
47.98557,2.14
14.3892,1.614786
91.98325,2.52
134.69681,2.86
199.93134,3.3
167.42227,3.56
129.88893,3.0
193.34995,3.96
182.51276,3.66
211.29375,3.5
100.51916,2.66
203.01302,3.8
156.75893,2.7698746
170.67226,3.42
99.6207,2.98
120.53486,2.58
106.57564,2.7
150.5599,3.08
103.26798,2.22
132.10861,3.08
18.389553,1.26
125.45679,2.24
129.67227,2.22
178.90427,2.76
211.09045,3.88
121.34047,2.54
195.27924,3.36
148.24919,2.6188679
105.51119,2.88
42.14148,2.02
97.948044,2.22
230.96065,4.24
169.50424,2.8498023
98.98462,2.92
33.596317,2.24
185.19046,3.08
196.19492,3.48
71.0724,2.32
104.26117,2.4
59.08206,2.3
180.51028,2.48
234.39484,4.02
153.22403,3.06
187.81975,3.48
223.05814,3.9
101.48319,2.26
167.77322,2.8
238.57277,3.06
184.67523,3.86
167.47699,3.484252
82.97924,2.68
193.26436,3.16
220.07579,3.68
198.88358,3.24
198.6759,3.0
140.26663,3.28
201.33437,3.4
186.84319,3.64
197.00876,4.08
106.05026,2.38
219.86198,3.4
203.67442,3.3
157.89476,3.12
61.375343,2.0
144.81964,3.3
135.25761,2.089069
97.61211,2.62
6.5405655,1.58
168.79007,2.82
189.18054,3.2580645
135.60959,2.0
188.21548,3.28
101.6335,2.38
163.10713,1.86
158.89133,3.36
142.70175,2.78
136.71088,3.1
180.21198,3.7
187.61743,2.98
217.45595,2.94
147.22118,3.3
155.60727,2.48
128.42216,2.32
119.74774,3.1215687
195.26424,3.12
207.31223,3.72
172.74442,3.68
78.53433,3.1
212.49173,2.52
207.62471,3.42
43.255913,1.98
189.78406,3.36
155.73398,2.98
75.91078,2.36
124.13249,3.16
217.82268,3.44
150.28285,3.48
149.68628,2.9
53.570366,1.66
200.74576,3.44
221.8023,3.32
131.75179,2.74
153.6937,3.16
94.94057,1.8
212.4325,3.6
135.27542,2.86
150.54031,2.26
184.7375,3.3
186.44669,2.98
116.57108,2.08
156.53976,2.24
217.60129,3.692946
129.13344,2.46
185.44391,2.96
177.89667,3.3
133.67401,2.98
24.510448,1.84
192.868,3.42
194.78024,3.22
188.16083,3.12
124.082214,2.24
150.55057,2.76
168.07677,2.8
160.97102,3.5
176.35774,3.1
211.16891,4.26
187.94324,3.56
211.15286,4.08
184.91612,3.14
191.68591,3.72
124.78122,2.6
215.03668,3.52
185.11923,3.18
67.12798,1.88
217.22266,2.66
138.02023,2.42
27.555307,1.84
201.12607,3.64
182.63269,3.308642
196.47333,3.7
191.04437,3.04
126.75331,2.42
222.65576,3.8
10.43004,2.08
93.58684,2.36
59.13308,2.2
131.2401,2.5
204.149,3.5
150.58774,2.68
54.87762,2.06
172.80554,3.5
189.62094,3.66
130.91618,2.68
67.69139,2.44
65.12372,2.46
127.686844,2.28
140.28775,3.86
149.10458,3.26
221.28134,3.04
131.74298,3.02
51.991005,2.4
198.90178,3.6
85.59719,2.68
84.14075,2.5
155.26886,3.16
77.70807,2.06
163.46033,1.56
197.18991,3.88
153.97644,3.1484375
127.25063,2.5
185.71912,3.5
168.17024,2.9
132.86937,3.14
161.0365,2.06
23.652859,2.44
41.268436,2.16
198.26271,3.18
148.75862,2.74
182.30109,3.3
189.01495,3.76
182.6582,2.86
126.07171,2.82
133.63217,2.86
179.24168,3.28
200.61763,4.22
178.78049,2.56
163.50867,3.24
188.77592,2.3
162.28232,2.46
223.36378,3.54
196.6948,3.2
196.35901,3.76
18.135235,1.98
182.22105,2.76
168.66644,3.0
59.352234,2.18
198.4041,3.84
103.80002,3.1
75.09447,2.28
171.20662,3.32
167.83737,3.22
63.665688,2.44
205.94418,3.18
242.44206,3.98
187.94006,3.8
188.73395,2.42
183.6684,3.08
95.45857,2.3
154.70969,2.6
204.43085,3.08
125.17428,3.0
182.59933,3.06
42.358585,2.06
99.33392,2.56
238.55719,4.24
194.58203,3.42
