predicted_scores,ground_truth_scores
0.26755232,4.77
0.2672774,4.3
0.09463895,2.5
-0.07189056,1.57
-0.079072125,1.2
0.26598114,3.57
-0.009746491,2.43
-0.07615142,1.5
-0.07901256,1.43
-0.07953958,1.2
0.26755232,4.7
0.26785347,4.17
0.0040706033,2.63
-0.062443264,1.93
-0.07684392,1.6
0.26777595,4.33
0.24327445,3.07
0.15034978,2.37
0.12971371,1.97
0.024152549,1.67
0.25623152,3.7
0.10781291,1.83
0.074860245,1.93
0.043519985,1.43
0.033695232,1.47
0.26327392,4.37
0.262361,4.43
0.24962734,3.83
0.22671929,3.47
0.1185545,2.73
0.2629288,2.7
0.2538878,2.63
0.2547057,2.7
0.25569525,2.57
0.23137406,2.16
0.26755232,4.7
0.26697087,3.43
0.26392797,3.13
0.22621505,2.33
0.1077196,1.83
0.26827314,4.6
0.2657836,4.4
0.2623541,4.07
0.1949114,1.73
-0.070057005,1.23
0.26224425,4.27
0.26247063,4.1
0.26262203,3.87
0.1783673,1.87
-0.001549808,1.23
0.26389948,3.63
0.24632557,3.57
0.16016382,3.03
0.033670515,2.4
-0.05875286,2.3
0.26654288,4.33
0.24610531,3.27
0.118910715,3.2
-0.0010594814,2.5
-0.05311338,2.2
0.2612876,3.43
0.24960345,2.83
0.23960392,2.73
0.15044187,2.2
0.10802258,1.87
0.2647869,4.53
0.22095038,3.23
0.10803217,2.83
-0.008271486,2.4
-0.06833186,2.1
0.10764635,3.8
-0.06696411,2.7
-0.076741725,2.23
-0.07876777,1.67
-0.079189524,1.27
0.26661316,4.57
0.26712632,4.47
0.2666141,3.83
0.2568324,2.73
0.09642876,2.03
0.26712668,4.53
0.26757234,4.6
0.2666182,3.97
0.267047,3.4
0.2393075,1.97
0.2668608,4.27
0.2680004,4.63
0.26705647,4.87
0.2683467,4.57
0.2678513,3.63
0.26712447,4.33
0.2654722,3.9
0.12955374,3.03
-0.07473836,1.6
-0.077655785,1.33
0.26746133,4.6
0.26704875,4.1
0.26784456,4.1
0.26778296,3.6
0.26610324,4.1
0.26786253,4.4
0.26009658,3.17
0.2597405,3.03
0.2544216,2.93
0.11910956,1.27
0.2665997,4.17
0.2629813,3.68
0.257806,3.6
0.24619332,3.37
0.17851022,2.9
0.2514145,2.27
0.22971998,2.37
0.20805202,1.87
0.20845716,2.23
0.13904592,2.2
0.26425302,3.77
0.2265134,2.6
0.12992881,2.0
-0.015383019,1.67
-0.056162186,1.5
0.26499826,3.61
0.2675336,3.73
0.26764813,3.9
0.26595318,4.23
0.26647174,3.43
0.26447362,4.73
0.26247296,4.53
-0.051362477,2.8
-0.079696134,1.67
-0.08032638,1.23
0.24563846,3.9
-0.07076464,2.57
-0.07970436,1.77
-0.0801799,1.27
-0.080301635,1.33
0.26414052,4.67
0.2628578,4.2
0.060945753,2.9
-0.076955415,2.17
-0.080215946,1.4
0.26536193,4.63
0.118480474,2.93
-0.028025383,1.93
-0.04258058,1.53
-0.063514926,1.27
0.26488,4.63
0.1862003,2.5
0.09636747,1.73
0.085204124,1.63
0.07420363,1.83
0.2617706,3.63
0.26004952,3.83
0.23898366,3.8
0.16889314,3.13
-0.009050859,2.03
0.26525205,3.27
0.2563876,2.27
0.25211596,2.23
0.23848465,2.33
0.19437447,1.83
0.26447362,4.73
0.25949386,3.03
0.21454859,2.33
-0.05332509,1.63
-0.07204996,1.27
0.2676293,4.7
0.2564112,4.47
0.24680346,4.03
0.053639833,1.97
-0.07816286,1.13
0.2556153,4.07
0.25581133,4.23
0.25183716,3.4
0.13922457,1.57
-0.038379077,1.17
0.2557779,3.1
0.18693447,2.9
0.03385614,2.83
-0.02154286,2.27
-0.065146215,1.8
0.26480654,4.03
0.22627464,3.0
0.033817332,2.6
-0.0461824,2.33
-0.06683239,2.1
0.2629667,3.57
0.23824544,2.7
0.14992025,2.3
0.0065083737,2.17
-0.05335832,1.97
0.26550823,4.5
0.17840426,3.2
0.053950306,2.47
-0.042108,2.07
-0.07371857,1.87
-0.008686722,3.6
-0.06988292,2.3
-0.075250015,2.03
-0.07861928,1.63
-0.079336256,1.37
0.2631206,4.43
0.26307324,4.17
0.26340654,3.73
0.2468118,2.77
-0.056081243,1.73
0.26417693,4.87
0.2641392,4.3
0.26507604,4.23
0.26547712,3.41
0.20153159,2.27
0.26471463,4.33
