predicted_scores,ground_truth_scores
0.2347575,3.22
0.24410759,3.84
0.20954446,3.24
0.22286886,4.44403
0.23312032,3.94
0.1558469,3.26
0.24406967,2.86
-0.08151921,2.14
-0.08145282,1.614786
-0.06904142,2.52
-0.045753997,2.86
0.22103049,3.3
0.20194753,3.56
0.14387137,3.0
0.23729156,3.96
0.2267307,3.66
0.24040532,3.5
-0.017094543,2.66
0.22637916,3.8
0.10003656,2.7698746
0.15225549,3.42
-0.025334673,2.98
-0.0160544,2.58
-0.06918024,2.7
0.16819853,3.08
-0.05506562,2.22
0.026760481,3.08
-0.08118067,1.26
0.061387785,2.24
0.17922787,2.22
0.21885364,2.76
0.24187781,3.88
-0.006074016,2.54
0.23676401,3.36
0.11120457,2.6188679
-0.060819853,2.88
-0.08209227,2.02
-0.052947827,2.22
0.24142183,4.24
0.17492364,2.8498023
-0.05463286,2.92
-0.08166249,2.24
0.2134929,3.08
0.24002092,3.48
-0.078999616,2.32
-0.0797735,2.4
-0.08050984,2.3
0.20260975,2.48
0.24463281,4.02
0.115048714,3.06
0.23018014,3.48
0.24580353,3.9
-0.055476308,2.26
0.21526687,2.8
0.20696059,3.06
0.13377173,3.86
0.11165098,3.484252
-0.045334913,2.68
0.2399772,3.16
0.2469281,3.68
0.2450827,3.24
0.23272066,3.0
0.07562715,3.28
0.238173,3.4
0.22059932,3.64
0.21762471,4.08
-0.04150643,2.38
0.23453707,3.4
0.24399117,3.3
0.15601331,3.12
-0.08196848,2.0
0.1123145,3.3
0.05108042,2.089069
-0.006795076,2.62
-0.08230267,1.58
0.2086346,2.82
0.22563744,3.2580645
0.007064897,2.0
0.2195863,3.28
-0.052908123,2.38
0.17110631,1.86
0.21113516,3.36
0.046220683,2.78
-0.03264672,3.1
0.17699419,3.7
0.23409647,2.98
0.25154507,2.94
0.13857259,3.3
0.2031584,2.48
0.13573684,2.32
0.0101064835,3.1215687
0.20268781,3.12
0.23791283,3.72
0.22609568,3.68
-0.074549526,3.1
0.2260009,2.52
0.23336807,3.42
-0.08039833,1.98
0.22073728,3.36
0.11057636,2.98
-0.004091731,2.36
-0.031353757,3.16
0.24442577,3.44
0.10071276,3.48
0.094655186,2.9
-0.0787568,1.66
0.20153044,3.44
0.24423328,3.32
-0.019059295,2.74
0.1898055,3.16
-0.06562387,1.8
0.24382378,3.6
-0.042624075,2.86
0.06600275,2.26
0.09124488,3.3
0.2327743,2.98
-0.062471334,2.08
0.06940863,2.24
0.22451615,3.692946
0.03197372,2.46
0.2333497,2.96
0.16014206,3.3
-0.008699235,2.98
-0.08222453,1.84
0.20675397,3.42
0.13653986,3.22
0.20003282,3.12
-0.05981808,2.24
0.12320094,2.76
0.1744016,2.8
0.19839168,3.5
0.13212271,3.1
0.23674017,4.26
0.22434095,3.56
0.23929498,4.08
0.22109404,3.14
0.22149602,3.72
-0.011933408,2.6
0.23676907,3.52
0.22365981,3.18
-0.08148199,1.88
0.23043859,2.66
0.06975386,2.42
-0.082155764,1.84
0.24068446,3.64
0.20006977,3.308642
0.25009853,3.7
0.24867177,3.04
0.032739338,2.42
0.25032276,3.8
-0.08220263,2.08
-0.043748245,2.36
-0.07816482,2.2
0.063390784,2.5
0.2483273,3.5
0.11099217,2.68
