predicted_scores,ground_truth_scores
0.25478277,68.72857
0.24950333,81.50625
0.21837936,56.829742
0.23248905,71.01549
0.23288353,76.075
-0.0813148,30.94181
0.25315833,68.302635
0.25867537,63.495575
0.2406186,68.8125
0.20820023,70.9079
0.2516587,74.11207
0.2507523,74.185486
0.25190535,80.87168
0.24133852,65.10555
0.2586784,75.68421
0.16884555,57.58186
-0.07769657,38.714287
0.25616184,68.460175
0.24638772,79.11009
0.13180953,46.90972
-0.08083308,20.621622
0.25578552,74.35811
0.25746897,68.302635
0.15013434,44.040092
0.005982973,43.096153
0.25837556,55.26835
0.14824484,55.554054
-0.044760384,48.53211
0.25638956,62.161057
-0.047743883,38.60811
0.24624325,69.75
0.25084326,58.260593
0.25910985,61.01875
0.264909,75.81896
0.24958919,75.454544
0.22957438,73.935844
0.1701634,38.161503
0.2307848,61.475445
0.26137507,59.603447
0.26531255,80.77455
0.25406826,67.99306
0.25080857,72.5
0.18319549,55.163044
0.047503438,44.45982
-0.066998295,36.543232
0.23320228,71.01549
0.24357705,55.8625
0.24019676,64.847824
0.20910178,58.160713
0.25120598,71.86161
0.22026908,66.84434
0.2185317,47.115383
0.25453553,58.88983
0.17754978,54.728992
0.10568256,49.044117
-0.06778062,51.175
0.25151306,66.78664
-0.08010642,37.3
0.23320888,51.39375
0.26019594,59.239407
0.24902882,80.655174
0.18106079,45.213593
0.22894537,58.457966
0.26319215,72.9125
-0.059834145,42.25
0.25949234,74.20946
0.23494369,60.74375
0.25616235,78.475
0.20521045,73.975
0.2582628,70.81303
-0.07816504,40.08173
0.2628547,75.99324
-0.08156702,34.831932
0.23918909,64.675
0.23535843,76.47222
0.23649459,69.10294
0.23722845,77.42105
0.24695608,76.23395
0.2445515,74.95109
0.25889546,72.64865
-0.08022512,27.49788
0.080138154,35.925
0.2581306,73.0641
0.2617285,62.614864
0.23033428,61.007076
0.2520008,74.051285
0.23531939,63.01483
0.25546524,76.75
0.22759907,61.52311
0.25467095,56.648586
0.25257167,63.91589
0.22770907,60.27778
0.10035862,47.588234
-0.019170271,46.334953
0.2460106,73.40777
-0.08054647,32.266808
0.26636347,63.71528
0.2617646,69.677635
0.22990337,61.2027
0.2566451,72.35135
0.23343979,61.3
0.21953648,70.14619
0.2468311,68.960396
0.25270116,67.55
0.23720214,64.13348
0.25987926,55.33108
0.25550377,72.28846
0.25090945,70.650444
0.22798689,63.475
0.23264351,54.109375
0.23698929,72.44811
0.25403225,65.14375
-0.08028697,31.995327
0.2454704,77.46849
0.25299162,74.46087
0.2614248,72.625
-0.07441875,24.276785
0.25524622,71.9646
0.10725807,57.327587
-0.07935741,33.697247
0.012861382,42.943275
0.25753415,72.9125
0.12290449,32.252117
0.18621916,50.9125
0.24935566,60.968487
